"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BTBD11",558.408811258292,-5.69417847121457,1.5418589178947,-3.04449286295541,0.00233072960365624,0.0942264674862754
"C15orf54",2883.90761825244,-3.81104867661647,0.391711136882218,-7.17633074972213,7.16072007046185e-13,4.3010353623224e-10
"C1GALT1P2",172.065887200291,-3.21969849956896,0.429062869232507,-5.17336422874224,2.29916205835244e-07,4.29636749970792e-05
"C20orf27",196.870935258212,2.48116740268852,0.423385844625083,3.49838668791613,0.000468081940794528,0.0262406736009413
"C4orf48",77.8052507138399,3.33243094113675,0.473433265094618,4.9266308751469,8.36595841357533e-07,0.00013273461188633
"CA1",739.601127958762,7.28468361346871,0.518496094570843,12.1209854409231,8.1769980863844e-34,6.87603769084065e-30
"CCL3L1",364.149357685574,-4.61931084275556,0.923277148039489,-3.92006977584239,8.85233347414179e-05,0.00664636358786235
"CCNB1",34.7863915534223,5.45703297082925,1.06502853002921,4.18489537618962,2.85297472404678e-05,0.00257964133919456
"CD1C",26.0573877394855,-8.22051933886628,1.27161549403787,-5.67822535406386,1.36099336926607e-08,3.8148644140528e-06
"CD22",177.187651320814,-3.98378900728926,0.443152572450408,-6.73309643852551,1.66089895819395e-11,7.35078912602786e-09
"CDH20",209.732717430067,-2.14263229082477,0.334148078652019,-3.41953871299887,0.000627274062569805,0.0329671724509343
"CDHR1",252.36259751396,5.01526476195523,1.01597139474868,3.95214351773014,7.74542623007438e-05,0.00597534763015555
"CDKN2AIP",1701.14301871716,-2.13837803547242,0.336262438152446,-3.38538565808035,0.000710783150358869,0.03579027252316
"CDYL",1318.21811699054,-1.75470250792436,0.212142049658925,-3.55753378049164,0.000374352972377807,0.0223257740760637
"CEP85L",53.6486161496911,-4.06404695512569,0.776427781851089,-3.94633863798725,7.93553587026572e-05,0.00606635646664222
"CFAP20",31.1475466062289,4.32493913837601,0.946914851728258,3.51133909485896,0.000445855280250295,0.0258565313905154
"CLN6",65.380063012364,3.70618989753271,0.607628295539704,4.45369301824405,8.44057583051137e-06,0.000946357362116935
"CNTN4-AS1",268.320826686314,-4.61352846119401,1.16024326887553,-3.11445759534215,0.00184283443525431,0.0770964913734003
"COL25A1",88.9106538372433,-2.8509030732936,0.475972493533033,-3.88867654841727,0.000100792338182342,0.00743476115592377
"COL6A3",380.772145048844,1.92246728220825,0.284247937214973,3.24529103446266,0.00117330642362778,0.0539143918922734
"COLGALT1",57.6898664979507,5.19408220212328,0.865543070774354,4.84560773893212,1.26224690253615e-06,0.000183004037990112
"CROT",28.0813150095532,-4.52348514770966,0.985194294480992,-3.57643681804497,0.000348309451341061,0.0212241606980216
"CRYM",673.233844434799,2.49566378848475,0.441500453366381,3.38768347139967,0.000704855570625544,0.0357056053818687
"CST7",2766.84547236104,2.43865192802882,0.413387327917883,3.48015488349609,0.000501123989341309,0.0277233659629676
"CSTB",215.067737813592,2.41814211507342,0.415034623398695,3.4169248422224,0.000633327612734486,0.0330785832017658
"CTCF",2024.54016363013,-2.01373040083173,0.242084171967792,-4.18751210618843,2.82028981770492e-05,0.00257780620403051
"CTNND2",115.050438589938,-3.49758834771318,0.629750006152764,-3.96599971943044,7.30889480455649e-05,0.00574397162724445
"CTSB",1204.22494784545,3.19330854751229,0.345397965625782,6.35009110009816,2.15187456033461e-10,8.22505144447897e-08
"CX3CR1",37.7798599168232,-4.22923247979076,1.01835228971897,-3.17103669564286,0.00151895953746139,0.0656817242196891
"CXCL5",24342.9914950774,-2.14333061410831,0.268525215214528,-4.25781472028571,2.0643492599377e-05,0.00199530033641564
"CXCL6",76.3097275940778,-2.79153712061349,0.484874552180298,-3.69484666200283,0.000220019525591957,0.0150418226886404
"DCLRE1A",5996.97106721861,-2.3148797672637,0.317396390692049,-4.14270548066646,3.4323260784361e-05,0.00300650312433012
"DCSTAMP",152.224163408261,-2.62536815224553,0.503305009686686,-3.22938997419744,0.00124054605458465,0.0560846869516254
"DDX11L8",524.820883666154,-2.16096605240892,0.383520504591444,-3.02712902833103,0.00246888549062774,0.0970133555639658
"DEFA3",2912.46133657631,4.06756769888227,0.968011635394882,3.16893680480494,0.00152997657511382,0.0656817242196891
"DGCR6L",135.595977900301,2.41289518917165,0.446268046166936,3.16602365172058,0.00154538227634786,0.065965073917813
"DOK4",21.6601832663958,-5.74060787277947,1.41046457550611,-3.3610258315622,0.00077653562696099,0.0384720938094972
"DYTN",1610.96889770221,-2.29611264306784,0.223395137952393,-5.80188385005969,6.55739805052269e-09,1.96932715024448e-06
"E2F1",1911.27244343208,2.3986256342697,0.297156481246761,4.70669738853273,2.51762203992793e-06,0.000330791933339906
"E2F6P4",323.34615626583,-2.06995202959259,0.297476726682552,-3.59675878353458,0.000322207018777741,0.0199263886494856
"ENKUR",24532.0250788846,-1.9021666506654,0.290323828263666,-3.10744955404098,0.00188709189148786,0.0785572065124824
"ENTHD1",197.584822079579,-5.00396806247453,0.939929821168726,-4.25985852592263,2.04556337132659e-05,0.00199530033641564
"FAM187B2P",85.2049050665344,-3.8814582782965,0.63365256349761,-4.54737887019906,5.4318163776301e-06,0.000652516341707021
"FCGR2A",5599.78308507234,2.11629174345858,0.30740620233135,3.63132472602275,0.000281970128468022,0.0180998993151725
"FDXR",63.2060597024214,2.79123458754695,0.520557297063336,3.44099409930856,0.000579581172099586,0.0314432133947446
"FEM1C",30.6576009187317,6.99979941686547,1.17793923381837,5.09347107610698,3.51566706451131e-07,6.15900923864075e-05
"FSTL4",529.411076498521,-2.34691613016975,0.249517438764744,-5.39808414529166,6.73562777679641e-08,1.57333038819669e-05
"FUNDC2P2",192.594364821752,-4.30599270860498,0.531918326429383,-6.21522618105146,5.12507723178803e-10,1.87377280183067e-07
"GABBR1",37.6797038775668,3.99970093523395,0.813385405266126,3.68792077631698,0.000226094016725017,0.0153324563438764
"GCKR",154.019911443535,3.14960094752468,0.394599297747648,5.44755391049727,5.1067239619993e-08,1.301286115044e-05
"GIMAP7",62.4779025701917,-3.32498357214115,0.669049408314478,-3.47505512036612,0.00051074839151897,0.0280711321848564
"GLOD4",39.0882071860618,-3.36255138106134,0.778856271635652,-3.03335989848271,0.00241846980230867,0.0954784627587494
"GOLT1B",2461.14554352488,-1.97508621252929,0.284483299974609,-3.42756925491344,0.000609010941128495,0.0324124873667691
"GPA33",58.6326698664613,-4.61946380962886,0.695953349999568,-5.20072762007842,1.98509841071109e-07,3.79379375810671e-05
"GPR88",129.613914780014,-2.98167339624087,0.436201004225131,-4.54302804680864,5.54518703264216e-06,0.000656753207851943
"GRIK4",24.1049967161494,-8.31266110126075,1.11211243504738,-6.57546923387222,4.84999715776121e-11,2.0391813049807e-08
"GYPC",70.7639418890925,2.67375270319022,0.508571112708575,3.29108881996081,0.000998003970167611,0.0471472774446036
"HBA2",11801.4393606751,6.50557253404109,0.685128569854794,8.03582389683142,9.2952168082607e-16,9.77043476758302e-13
"HBB",185831.348285503,6.21730178720979,0.553173797099616,9.43157794994085,4.0396533587872e-21,1.13231483646805e-17
"HBD",3170.78097552954,3.97075048920685,0.761285026885702,3.90228414364029,9.52892037255631e-05,0.00709103463830319
"HCST",2260.31184838143,1.99686599679751,0.306133918453834,3.25630691898599,0.00112871669256429,0.052438556175542
"HEMGN",9783.06743630774,-2.12740689499389,0.251124532513349,-4.48943352411799,7.14128283733652e-06,0.000834042324710595
"HPSE",2474.04465159429,2.45282053313452,0.339214827464364,4.28289218367717,1.84479575471098e-05,0.00182504558839584
"IFITM2",13461.4443431732,3.06687154306341,0.247195593725548,8.36127987523184,6.20414689544002e-17,8.69511187395919e-14
"IFITM3",37191.3074976394,4.12165000529038,0.361273427481289,8.64068533092447,5.58768191225935e-18,9.39736344003778e-15
"IL20RA",130.566753980696,-5.3951707130657,0.627306349228686,-7.00641834483239,2.44496142827131e-12,1.28498004064584e-09
"IMPDH1",476.95628983533,2.71199065847851,0.396955291365063,4.31280473070723,1.61196479171972e-05,0.00167345826340385
"IRF8",82.7551732079379,-4.69787772377689,0.760126468051989,-4.8648190520896,1.14561567208921e-06,0.000175154221574513
"ITGB3BP",10829.2315699827,-3.32913020471015,0.320948699253043,-7.2570171187197,3.95719640759488e-13,2.55969727626656e-10
"JAK3",1204.64519947432,2.06986012178284,0.318355074749861,3.36058761627549,0.000777768575052268,0.0384720938094972
"KCNA2",172.025012664192,-2.40672492176122,0.391181453248471,-3.59609309204057,0.000323032239361395,0.0199263886494856
"KIF28P",2326.73971918255,-2.19282561239612,0.338689017155708,-3.52189044219209,0.000428481181865183,0.0250215156826689
"KLHDC8B",2930.21657274398,2.20344422005064,0.343690185538979,3.50153792772227,0.000462581124669337,0.0262406736009413
"KLRA1P",450.963699731244,-3.2593225287047,0.418989048680928,-5.39231881076022,6.9554220540578e-08,1.58076065006951e-05
"LCK",33.8612104636816,-4.91521475608159,1.23491308105632,-3.17043751187135,0.00152209566960886,0.0656817242196891
