"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACOT7",3267.37061848205,1.62446444275536,0.212943809843436,7.6286060813401,2.37305529967784e-14,3.27131508442475e-12
"ACSBG1",1160.20205915967,-0.799352671765637,0.271082262317556,-2.94874576053687,0.00319066339260342,0.0151755025273768
"ACSL4",884.117188022857,-1.11250979818892,0.250741042472169,-4.43688750441564,9.12689600454096e-06,0.000120673063682681
"ACSL5",149.733087967302,1.80481426969194,0.471798147686809,3.82539498838816,0.00013056258047096,0.00115325707897091
"ACSS1",248.722252447346,0.957879885353192,0.329526063452449,2.90684104109239,0.00365098674776872,0.0168687623966963
"ACTN1-AS1",61.3987069395038,-1.21645223273853,0.485729448664826,-2.50438229776332,0.0122665411673572,0.0441753082125511
"ACTR10",10650.0289758369,-0.770558303569008,0.154947655517721,-4.97302331548269,6.59167296744622e-07,1.28012420284654e-05
"ACTR3B",3520.9655053079,-0.568943443103071,0.166346680776594,-3.42022720529765,0.000625688541246148,0.00412336594305553
"ADAM10",3080.31916896991,-0.515809162746273,0.20225303795423,-2.55031601979201,0.0107625312427064,0.0397636754041818
"ADAM12",258.002177546902,-2.73838654931456,0.477715323538709,-5.73225604117067,9.91035181350471e-09,3.34683326906671e-07
"ADARB2",259.484458146989,-11.753682310967,1.97031437330317,-5.96538424031407,2.44059025012179e-09,9.77282067298767e-08
"ADAT2",415.18980487758,-1.94298838934997,0.329558883208781,-5.89572452252503,3.73040883835874e-09,1.40668196958559e-07
"ADD3-AS1",95.3815695430933,-1.03547602478254,0.397686327952562,-2.60375062455266,0.00922098223060159,0.0352290956733888
"ADHFE1",103.535746850711,1.07690135143421,0.371593523879954,2.89806275467306,0.00375475452318562,0.0172439818598951
"ADIPOR2",561.093080623722,1.53079869218008,0.302159109341521,5.06620070305366,4.05834026838734e-07,8.2431360668766e-06
"ADK",30.2246349866644,-3.19387418680073,0.722883708775568,-4.41824064926095,9.95075911322695e-06,0.000130133644452761
"ADRM1",408.738229243504,0.679538986044923,0.24256458575346,2.80147649721464,0.00508693463526981,0.0221408040103436
